country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year,gdp_per_capita,generation
Belgium,1988,female,75+ years,16,308743,0.47,Belgium2008,,"518,625,897,173",24017,G.I. Generation
Guyana,1999,male,75+ years,0,278,0.31,Singapore1996,0.827,"96,403,758,865",13532,Silent
Antigua and Barbuda,2008,male,5-14 years,6,102180,0.39,Aruba1995,,"1,320,670,391",12984,Boomers
Azerbaijan,1993,female,75+ years,4,52576,0.77,Barbados2001,,"3,116,650,000",17987,G.I. Generation
Mexico,1986,male,25-34 years,348,2131359,10.24,Montenegro2007,,"3,680,710,375",2954,G.I. Generation
Italy,1995,male,15-24 years,5950,1028652,18.97,Finland2002,,"139,552,983,249",8250,Generation X
Grenada,2005,female,55-74 years,18,43941,3.23,Greece2006,,"273,317,737,047",9352,Silent
Republic of Korea,2009,male,75+ years,2844,4022436,112.03,Republic of Korea2004,,"764,880,644,711",23215,Silent
Romania,2003,male,55-74 years,797,3365957,14.62,Romania2008,,"213,605,065,703",20107,Millenials
Grenada,2014,male,25-34 years,1,355701,0.55,Germany2004,0.889,"2,819,245,095,605",8283,Millenials
Russian Federation,1998,male,35-54 years,680,2031857,29.08,Qatar2005,,"166,658,327,827",30584,Boomers
Qatar,1998,female,25-34 years,3,2468,0.31,Israel2003,,"126,864,966,909",3116,Boomers
Azerbaijan,1987,female,35-54 years,7,278,0.13,New Zealand2011,,"168,461,998,741",1852,Boomers
Uzbekistan,2013,female,15-24 years,0,163285,0.0,Latvia2000,0.767,"119,791,683,308",2744,Generation X
Japan,2013,female,35-54 years,0,47650,0.76,Mauritius2010,0.82,"10,003,670,690",13573,Generation X
Colombia,2013,female,5-14 years,4,1639562,2.14,Bahamas2009,0.818,"9,981,960,000",4194,Millenials
Ukraine,2006,female,55-74 years,355,1113039,67.46,United Kingdom2004,,"2,398,555,474,185",4004,Silent
Turkey,2006,female,5-14 years,1,2471324,4.07,Italy1989,0.685,"240,923,926",391,Millenials
Estonia,2015,male,75+ years,98,950683,29.68,Estonia2015,,"22,566,956,982",55616,Silent
Slovenia,2007,female,25-34 years,0,65858,13.3,Hungary2003,,"85,324,771,841",16059,Generation X
Ireland,2013,female,75+ years,58,444918,24.15,Sweden2012,,"543,880,647,757",23780,Silent
Latvia,1999,male,55-74 years,87,108972,19.74,Lithuania2000,,"11,539,211,480",10157,Silent
Uruguay,2013,male,15-24 years,21,68515,8.0,Bahrain1999,0.824,"6,621,010,372",17571,Millenials
Greece,2014,male,55-74 years,7,231403,1.76,Belize2013,0.913,"1,612,573,850",29313,Silent
Greece,1985,female,25-34 years,582,20006147,9.85,Brazil1992,,"400,599,250,000",28786,Generation X
Uruguay,1996,female,5-14 years,0,278,0.7,Uruguay2012,,"51,264,390,116",2798,Generation Z
Belgium,1998,male,5-14 years,984,2663562,0.0,Belgium1992,,"236,038,384,442",24420,Generation X
Norway,2009,female,5-14 years,0,208862,3.03,Colombia2006,,"162,590,146,096",6148,Millenials
Latvia,2014,male,15-24 years,53,968869,15.18,Bahamas1997,0.833,"6,332,360,000",11383,Millenials
Uzbekistan,2003,female,15-24 years,928,5547856,1.33,Switzerland2003,,"352,914,820,747",2277,Millenials
Thailand,2008,female,5-14 years,2,2827700,0.0,Argentina1996,0.726,"272,149,750,000",3846,Generation Z
Greece,2013,female,15-24 years,0,302886,0.55,Greece2007,0.833,"318,497,936,901",10697,Millenials
Saint Lucia,2010,male,35-54 years,18,654696,1.88,Finland2014,0.66,"272,609,288,690",7693,Generation X
Spain,2004,female,5-14 years,11,1015055,0.35,Iceland2016,,"20,304,098,101",8502,Generation X
Georgia,2002,female,25-34 years,85,384461,8.76,Guyana2004,,"785,918,770",3463,Boomers
Netherlands,1985,female,5-14 years,9,3232720,3.42,Netherlands2002,,"465,368,906,456",34190,Millenials
Antigua and Barbuda,2014,female,15-24 years,0,54150,0.13,Antigua and Barbuda1991,,"481,706,333",16222,Millenials
Kuwait,2009,female,25-34 years,6,3307550,0.14,New Zealand1988,0.689,"45,493,075,684",87599,Generation X
Croatia,2003,male,35-54 years,71,458003,8.66,Denmark1995,,"185,006,961,302",25333,Boomers
Antigua and Barbuda,2007,female,75+ years,12,149311,0.89,Israel2001,,"130,706,147,871",6792,Silent
Slovenia,1997,female,25-34 years,1,14916,0.75,Kyrgyzstan1991,,"2,570,833,333",19116,Generation X
Costa Rica,2014,female,25-34 years,31,286958,2.39,Finland1996,0.674,"132,099,404,608",25464,Millenials
United Kingdom,1995,male,75+ years,617,3763687,10.82,United Kingdom2002,,"1,768,408,273,381",46387,Boomers
Saint Lucia,2007,male,75+ years,299,278,27.14,Antigua and Barbuda2007,,"1,311,401,333",46361,Boomers
France,1998,male,5-14 years,14,180187,0.84,Hungary1996,,"46,659,796,773",5619,Millenials
Russian Federation,2001,female,5-14 years,13,1789229,9.99,Russian Federation1990,,"516,814,274,022",6471,Millenials
Czech Republic,2005,female,75+ years,62,1194500,18.26,Panama2012,,"40,429,734,400",6861,Silent
Azerbaijan,1992,female,5-14 years,11,428393,0.03,Azerbaijan1990,,"8,858,006,036",16062,Generation X
Singapore,1993,male,35-54 years,292,18481,10.38,Slovenia2011,,"51,290,792,018",3841,Boomers
Barbados,1989,male,5-14 years,3,256673,0.52,Finland1989,,"119,064,708,328",26329,Boomers
Puerto Rico,1999,female,75+ years,102,458993,4.14,Poland1996,,"159,942,880,457",23611,Generation X
Paraguay,1997,male,35-54 years,14,95056,3.4,Romania2003,,"59,867,801,205",4938,Generation X
Panama,1986,female,55-74 years,71,280173,31.25,Singapore1988,,"25,337,226,971",19480,G.I. Generation
Malta,2007,female,75+ years,97,627204,5.03,Antigua and Barbuda2000,,"830,158,778",29511,Silent
Grenada,1999,female,75+ years,1,278,20.57,Finland1993,,"89,255,751,015",6347,G.I. Generation
Australia,2014,male,15-24 years,348,2527395,12.43,Ecuador1994,,"22,708,673,337",37555,Millenials
Israel,2002,female,35-54 years,20,1319029,8.0,Italy2013,,"2,130,491,320,659",22050,Boomers
Puerto Rico,1994,male,75+ years,22,56332,48.35,Paraguay2008,,"18,504,130,753",23223,G.I. Generation
Uzbekistan,1997,female,75+ years,69,274073,7.46,Trinidad and Tobago2003,0.694,"11,305,459,802",25954,G.I. Generation
Australia,2001,female,25-34 years,8,112973,5.92,Austria2003,0.685,"261,695,778,781",27079,Generation X
Philippines,1985,female,25-34 years,4,403692,4.2,Jamaica2010,,"13,191,645,686",1665,Generation X
Mexico,2007,male,35-54 years,177,3930025,25.49,Seychelles2012,,"1,059,498,884",19950,Boomers
Cuba,1985,female,35-54 years,12,28118,0.24,Antigua and Barbuda2002,,"814,615,333",2497,Boomers
Sweden,1991,female,55-74 years,0,1517784,23.36,Paraguay1995,,"9,062,131,308",1495,Silent
Italy,1996,female,35-54 years,268,3918157,2.43,Ireland2014,,"258,099,014,042",8655,Boomers
Italy,2012,female,15-24 years,8,134403,5.88,Israel2012,0.881,"257,296,579,579",110850,Millenials
Ireland,2001,male,75+ years,73,235008,9.87,Brazil1999,,"599,388,579,986",26197,Silent
Bahamas,2000,female,5-14 years,16,57681,16.97,Colombia2002,,"97,933,391,976",2697,Boomers
Serbia,2006,male,55-74 years,21,18159,10.25,Croatia2015,,"49,425,513,611",26328,Silent
Republic of Korea,2008,male,55-74 years,93,5443390,41.75,Greece1994,0.757,"97,891,090,929",17282,Silent
Japan,2002,male,15-24 years,917,7548439,11.43,Bulgaria1988,0.889,"22,555,941,176",10159,Generation X
Uzbekistan,2002,female,35-54 years,28,609319,3.81,United Kingdom1989,,"926,884,816,754",352,Boomers
New Zealand,2013,female,35-54 years,53,307004,8.39,Netherlands2003,0.685,"571,863,431,151",4211,Boomers
Colombia,1986,male,75+ years,856,1540769,98.34,Panama1996,,"9,870,494,000",21361,G.I. Generation
South Africa,1985,female,35-54 years,426,9081342,13.02,Spain1994,,"529,121,577,320",7415,Boomers
Brazil,2007,female,55-74 years,23,430849,3.53,Costa Rica2006,,"22,600,431,878",10856,Silent
United States,2003,male,35-54 years,750,1828274,43.61,Trinidad and Tobago1998,,"6,043,694,330",49816,Boomers
Ecuador,2014,female,75+ years,13,56023,7.31,Argentina2000,0.67,"284,203,750,000",5943,Silent
Armenia,2000,male,35-54 years,95,863081,10.84,Australia1987,,"189,041,159,344",2825,Boomers
Mexico,1985,female,75+ years,667,85517,16.45,Luxembourg2008,,"55,849,686,539",6976,Silent
United Kingdom,2009,female,35-54 years,246,840857,3.1,Armenia1999,0.881,"180,429,286,796",3328,Boomers
Mexico,1986,female,35-54 years,288,18812255,6.86,New Zealand2000,,"52,622,842,840",5184,Boomers
Guatemala,2011,female,15-24 years,0,773047,0.0,Guatemala2007,0.753,"34,113,107,086",15888,Millenials
Mauritius,2008,male,55-74 years,3,26484,0.32,Malta2013,0.727,"10,145,114,180",6700,Silent
Malta,1986,female,5-14 years,0,122830,0.87,Canada2006,,"1,315,415,197,461",3024,Generation X
Chile,2013,female,25-34 years,33,1437094,4.15,Bulgaria2014,0.905,"56,731,990,232",47061,Millenials
Cuba,1997,female,75+ years,0,3236,0.0,Czech Republic2013,,"209,402,444,996",9145,Silent
Seychelles,1998,male,5-14 years,0,27532,0.25,Seychelles2009,,"847,397,850",62989,Millenials
Germany,1998,male,25-34 years,782,3698091,25.38,Germany1994,,"2,205,966,011,812",20532,Generation X
Republic of Korea,2002,male,55-74 years,618,3128945,87.06,Spain1990,,"535,101,248,776",53387,Silent
Costa Rica,1987,female,5-14 years,0,25234,0.0,Bahamas2004,,"9,055,290,000",8358,Millenials
Argentina,2003,female,35-54 years,3,2311716,0.09,Armenia2000,,"1,911,563,665",22577,Boomers
Seychelles,2013,female,75+ years,61,27975,9.24,Sri Lanka1998,,"15,794,972,847",6946,Silent
Australia,2001,female,25-34 years,70,4138664,4.03,El Salvador2001,,"12,282,533,600",31098,Generation X
Italy,2000,male,25-34 years,255,7443439,19.61,Italy1998,,"1,266,309,245,009",3458,Boomers
Singapore,2005,female,5-14 years,0,372136,3.77,Slovakia1994,,"20,079,363,626",3398,Millenials
Belize,1992,male,35-54 years,17,27093,54.21,Chile2012,,"267,122,320,057",4585,Boomers
Romania,1994,male,25-34 years,7,1387334,4.58,Russian Federation2000,,"259,708,496,267",12772,Generation X
Italy,2000,female,75+ years,725,3102757,4.22,Uruguay1990,,"57,222,490,769",3739,Silent
Cuba,1999,female,55-74 years,316,3742369,70.18,Republic of Korea2002,,"609,020,054,512",5076,Silent
Thailand,2002,male,35-54 years,594,3342036,93.28,Sweden2011,,"543,880,647,757",2956,Boomers
Denmark,2008,male,25-34 years,292,10014026,23.02,Denmark2006,0.879,"282,884,912,894",24905,Generation X
Paraguay,1989,male,35-54 years,21,54054,12.16,Republic of Korea1986,,"115,537,126,326",1833,Boomers
Paraguay,1997,male,75+ years,8,203034,89.98,Suriname1996,,"860,630,923",3843,Silent
Puerto Rico,1992,male,25-34 years,924,3800285,10.06,Spain1995,,"612,939,685,081",19992,Generation X
New Zealand,1996,female,75+ years,7,125616,8.05,Italy2000,,"1,141,759,996,315",16704,Silent
Bulgaria,2008,male,25-34 years,39,140801,10.6,Bulgaria2010,,"50,610,058,210",4509,Boomers
Chile,1987,female,25-34 years,0,278,2.85,Greece2004,0.677,"240,521,260,988",6929,Generation X
Thailand,2000,female,25-34 years,284,2959965,23.45,United States2015,,"14,477,635,000,000",7483,Boomers
France,2008,male,25-34 years,87,113825,21.36,Belize1994,,"580,863,700",36553,Boomers
Saint Vincent and Grenadines,2014,female,5-14 years,0,278,0.0,Bulgaria1990,0.813,"1,180,489,563,964",17835,Generation X
South Africa,2013,male,5-14 years,0,2969262,0.36,Spain2001,,"625,975,838,926",11878,Millenials
Belarus,1986,male,25-34 years,50,915795,71.11,Guatemala2004,,"23,965,275,996",2324,Boomers
Belize,2001,female,15-24 years,3,270640,8.42,Antigua and Barbuda1990,,"459,469,074",6531,Millenials
Kuwait,2011,female,35-54 years,191,673289,1.66,Kazakhstan1997,0.823,"1,249,062,025",32800,Boomers
Uruguay,2012,male,35-54 years,50,120974,12.82,Thailand2015,,"401,399,422,443",7216,Boomers
Cuba,1999,female,55-74 years,56,1427188,13.55,Hungary1999,,"49,170,434,391",26779,Silent
Israel,2003,female,75+ years,83,372059,4.08,Kuwait1994,,"24,848,483,838",23830,Silent
Denmark,1997,female,55-74 years,2325,2443597,3.38,Estonia2009,,"19,652,492,637",25680,Silent
Kazakhstan,1998,female,35-54 years,742,10594026,10.35,Kazakhstan2014,,"221,415,572,820",48994,Boomers
Bahrain,2009,female,25-34 years,0,431248,10.44,Uruguay1994,,"3,208,098,919",8284,Generation X
Kazakhstan,1987,female,55-74 years,910,3096366,85.5,Kiribati1995,,"56,338,028",3263,Silent
Republic of Korea,2013,male,25-34 years,67,2614222,2.15,South Africa2009,,"297,216,730,669",3174,Silent
Canada,2013,male,25-34 years,9,330180,0.91,Lithuania2012,0.777,"42,848,195,256",71361,Millenials
Ukraine,1998,male,35-54 years,1058,2348162,89.58,Ecuador2000,,"18,327,764,882",2596,Boomers
Norway,2001,male,25-34 years,0,278,0.39,Norway2005,,"308,722,079,938",4634,Generation X
Switzerland,2011,male,15-24 years,55,569705,22.85,Cyprus1999,0.902,"10,614,455,232",26236,Millenials
Cuba,1996,male,25-34 years,364,2681067,83.93,Croatia2001,,"23,289,671,102",6128,Boomers
Spain,1994,female,75+ years,16,217242,23.96,Mongolia2016,,"11,183,458,131",23451,Silent
United Kingdom,1999,male,15-24 years,798,1849984,55.07,Croatia2011,,"62,375,044,443",23396,Generation X
Netherlands,1998,female,25-34 years,79,4007608,17.97,Netherlands1995,0.776,"446,528,959,649",30001,Generation X
Russian Federation,1999,male,35-54 years,1097,4905543,28.01,Puerto Rico2001,,"69,208,400,000",51833,Boomers
Philippines,2003,male,25-34 years,12,2162925,3.16,Saint Lucia2008,0.672,"1,282,215,407",6631,Millenials
Georgia,1990,female,75+ years,11,151025,10.09,Cuba2005,,"42,643,836,075",8069,Silent
Costa Rica,2004,female,75+ years,4,278,34.31,Costa Rica2000,,"14,949,514,585",6259,Silent
United Kingdom,1987,female,35-54 years,780,4467381,10.54,Thailand2016,,"411,755,164,833",39406,Boomers
Italy,1985,male,25-34 years,51,2508233,22.47,Israel2006,,"153,966,916,311",3737,Millenials
Malta,1986,female,75+ years,3,74686,7.44,Mauritius2010,,"10,003,670,690",26440,Silent
Azerbaijan,1996,female,5-14 years,0,120074,0.0,Mauritius1989,0.842,"2,191,096,860",2608,Generation Z
Greece,2004,female,75+ years,12,440503,3.09,France2000,,"1,362,248,940,483",29867,Silent
Thailand,2005,male,75+ years,502,284823,8.73,Albania1995,,"2,424,499,009",8670,Silent
Belgium,2007,male,25-34 years,119,339551,14.77,Belgium1985,,"86,730,038,793",3413,Generation X
Jamaica,2004,female,75+ years,3,16552,34.22,Australia1988,0.739,"235,699,941,793",2847,G.I. Generation
Lithuania,1999,male,75+ years,0,93217,1.08,Republic of Korea1996,,"598,099,073,901",9915,Silent
Australia,1992,male,15-24 years,325,1484790,19.6,Azerbaijan2003,,"7,276,013,032",16743,Generation X
Romania,2004,male,55-74 years,2372,2706037,2.65,Saint Lucia1986,,"289,689,704",5566,Boomers
Kiribati,1994,female,35-54 years,2734,13570924,8.47,United States2014,0.83,"17,427,609,000,000",25997,Boomers
Ireland,1992,female,75+ years,14,351196,9.53,Argentina2005,,"198,737,095,012",18479,Silent
Paraguay,1992,male,75+ years,82,2710397,34.98,Saint Vincent and Grenadines2000,,"396,270,000",8719,Silent
Russian Federation,1999,female,35-54 years,27,128714,10.13,Slovenia2002,,"23,563,576,758",7097,Boomers
Ukraine,1996,male,55-74 years,384,2912656,9.8,Austria1998,,"218,259,904,402",16067,Silent
Ecuador,1996,male,35-54 years,742,1067430,32.0,Cuba1997,,"25,366,200,000",2063,Boomers
Aruba,1999,male,75+ years,0,10397,6.48,Poland2011,,"528,832,185,770",8499,Silent
Portugal,1990,male,75+ years,2251,283929,65.99,Slovakia2001,,"30,703,017,450",22408,G.I. Generation
Chile,1987,female,25-34 years,723,3087825,4.04,Bulgaria2010,,"50,610,058,210",28317,Generation X
Costa Rica,2009,male,55-74 years,0,943266,6.67,Fiji2006,,"3,102,741,451",8297,Generation X
Argentina,2004,female,5-14 years,0,1163258,0.26,Armenia1999,,"1,845,482,181",16915,Generation X
Greece,2010,female,25-34 years,14,184299,1.51,Cyprus2009,0.821,"25,942,622,951",27503,Generation X
United States,2002,male,35-54 years,4202,3319965,4.22,United States2014,,"17,427,609,000,000",2617,Boomers
Antigua and Barbuda,1998,female,25-34 years,20,787069,0.2,Albania1998,,"2,707,123,772",3754,Boomers
New Zealand,1991,male,35-54 years,11,278,0.24,Israel1992,,"75,575,902,932",2341,Boomers
Cyprus,2010,female,15-24 years,0,1003931,0.25,Cyprus2013,0.83,"24,084,572,491",22634,Millenials
Georgia,2000,male,25-34 years,2,278,0.41,Georgia2014,,"16,509,305,828",1746,Generation X
Israel,1996,female,75+ years,19,1322557,0.45,Kiribati1992,,"47,737,955",20365,Generation X
New Zealand,1988,male,25-34 years,235,1204352,33.03,Slovenia1996,,"21,480,023,017",3520,Boomers
Estonia,2004,female,55-74 years,0,278,1.46,Cyprus2004,,"17,422,375,000",13523,Generation X
Mexico,2003,female,55-74 years,16,195271,0.78,Albania1988,,"2,126,000,000",2986,Silent
Azerbaijan,2005,female,5-14 years,0,1715737,3.29,Bahamas2006,,"10,167,250,000",622,Generation X
Romania,1986,male,35-54 years,924,859862,2.23,Paraguay2008,0.657,"18,504,130,753",2403,Boomers
Switzerland,2006,female,75+ years,9,239085,0.23,Ecuador2000,,"18,327,764,882",48932,Boomers
Guatemala,2015,male,25-34 years,271,1142568,4.25,Costa Rica2013,,"49,745,088,112",3157,Millenials
Bahamas,2012,female,75+ years,60,330972,21.72,Kuwait2011,0.897,"154,027,536,232",26689,Silent
Italy,2000,male,25-34 years,72,672756,18.05,Kuwait1994,,"24,848,483,838",30618,Generation X
Saint Vincent and Grenadines,1994,female,35-54 years,21,278,0.31,Slovakia1994,,"20,079,363,626",6175,Silent
Greece,2006,male,55-74 years,614,2766534,90.73,Greece1991,,"105,143,232,380",31380,Silent
Latvia,1991,female,25-34 years,11,230354,0.17,Saint Lucia1987,0.697,"319,998,987",4983,G.I. Generation
Puerto Rico,1999,female,25-34 years,906,10708470,8.29,Philippines1993,,"54,368,083,953",24965,Generation X
Singapore,2009,female,25-34 years,2,1152825,2.23,Singapore1986,0.916,"18,569,292,305",6009,Generation X
Paraguay,1997,male,5-14 years,7,2399686,0.0,Paraguay2004,,"8,033,877,360",2673,Millenials
Jamaica,1986,female,5-14 years,0,64903,0.28,Luxembourg2015,,"57,784,495,265",5608,Generation X
New Zealand,1990,male,25-34 years,8,116695,7.37,New Zealand1986,0.843,"30,604,668,357",20984,Generation X
Turkmenistan,2005,female,25-34 years,15,440063,18.5,Suriname1995,,"9,632,155,053",4142,Millenials
Switzerland,2008,female,35-54 years,40,547246,10.41,United States1987,,"121,338,622,025",5975,Boomers
Bulgaria,1992,female,25-34 years,57,595841,13.37,Serbia2013,,"599,118,593",20144,Generation X
Cyprus,1985,female,55-74 years,0,130989,0.0,Poland2013,,"524,234,322,597",12535,Silent
Kyrgyzstan,1985,male,25-34 years,12,68707,33.33,Latvia2008,,"35,596,016,664",251,Generation X
Antigua and Barbuda,1997,female,35-54 years,23,1135805,0.29,Belgium1988,,"163,167,853,538",5623,Boomers
Norway,2001,male,25-34 years,0,392210,18.39,Chile1990,,"33,113,887,818",2578,Generation X
Germany,1994,female,5-14 years,5,3238533,3.08,Greece1987,0.659,"65,652,751,132",4565,Generation X
Cuba,2001,female,55-74 years,0,207396,10.58,Israel1995,0.777,"100,343,219,507",64460,Silent
Austria,2009,male,15-24 years,551,1261023,8.38,United Kingdom2011,0.675,"2,619,700,404,733",3558,Generation X
Australia,2003,male,15-24 years,157,964981,1.02,Australia1995,0.776,"367,216,364,716",10077,Generation X
Turkmenistan,2007,male,25-34 years,262,1319918,11.91,Antigua and Barbuda1985,,"240,923,926",6730,Generation X
Brazil,1987,female,55-74 years,14,95556,0.0,Azerbaijan1994,,"3,313,739,674",9264,Silent
South Africa,2007,female,25-34 years,16,552466,2.21,Republic of Korea1996,,"598,099,073,901",8008,Boomers
Mauritius,2013,male,15-24 years,0,61757,2.5,Luxembourg1994,0.665,"18,325,791,415",84850,Millenials
Bulgaria,2002,male,15-24 years,14,234922,7.2,Belgium2001,,"237,841,968,680",2578,Millenials
Malta,1993,male,25-34 years,3,45289,7.96,Luxembourg1988,,"9,750,161,053",2389,Boomers
Costa Rica,1994,female,75+ years,8,278,0.33,Denmark2014,,"352,993,633,221",18255,Silent
Kazakhstan,1995,female,75+ years,294,542988,51.37,Italy1990,,"1,177,326,294,441",2382,G.I. Generation
Argentina,1999,female,15-24 years,19,862660,4.97,Albania1998,0.82,"2,707,123,772",10860,Generation X
Bahamas,2002,female,5-14 years,0,25822,0.0,Lithuania2006,,"30,216,060,233",24852,Generation X
Uruguay,1995,female,35-54 years,64,205274,2.57,Uruguay2003,,"12,045,631,093",54555,Silent
Suriname,1986,male,5-14 years,0,278,0.1,Sri Lanka2002,,"16,536,535,647",1828,Generation X
Austria,1993,female,55-74 years,311,695561,22.2,Colombia2014,,"378,195,716,714",24446,Silent
Israel,2011,male,75+ years,95,278,35.35,Paraguay1986,,"3,439,716,562",4167,G.I. Generation
Saint Vincent and Grenadines,1998,female,5-14 years,4,278,0.08,Czech Republic1999,0.657,"64,867,483,193",4650,Millenials
Austria,1997,male,55-74 years,1455,1973274,22.11,Hungary1998,,"48,770,466,839",22853,Boomers
Germany,2005,female,35-54 years,1631,7209901,3.44,Argentina2002,,"97,724,004,252",35546,Silent
Bulgaria,2011,female,35-54 years,94,294548,29.76,Colombia1990,,"40,274,204,595",57396,Silent
Guatemala,2001,male,15-24 years,18,116238,6.41,Puerto Rico2012,0.658,"101,564,800,000",44150,Millenials
Romania,1996,male,15-24 years,183,1106454,36.68,Kyrgyzstan2009,,"4,690,062,255",21302,Generation X
Cyprus,2008,male,75+ years,48,303051,23.57,Czech Republic2003,0.813,"99,627,140,274",13069,Generation X
Guatemala,1995,male,25-34 years,85,981087,20.75,Guatemala2002,,"20,776,669,467",24159,Generation X
Russian Federation,2006,female,35-54 years,752,7955970,12.29,Latvia1996,,"5,970,044,666",62216,Boomers
Italy,1987,female,25-34 years,73,2975907,5.37,Ireland2002,,"127,945,379,258",5016,Millenials
Belize,2001,male,15-24 years,5,278,4.14,Belize2009,,"1,336,957,250",5108,Millenials
Seychelles,2012,female,55-74 years,0,37976,0.15,Greece1997,0.733,"25,337,226,971",4760,Silent
Antigua and Barbuda,1986,male,35-54 years,0,31704,0.92,Albania1996,,"3,314,898,292",29224,Boomers
Ecuador,1999,male,75+ years,73,104319,32.48,Ecuador2007,,"51,007,777,000",1877,G.I. Generation
Ecuador,2013,female,35-54 years,100,545298,7.19,Aruba2001,,"1,920,262,570",6462,Boomers
Saint Vincent and Grenadines,2004,male,75+ years,80,278,3.05,Serbia2011,0.645,"46,466,728,667",2561,Silent
